z	zfir	zmaf
-0.966250	-0.967250	-0.967562
-0.966250	-0.967250	-0.967562
-0.971250	-0.968125	-0.967875
-0.971250	-0.968125	-0.967875
-0.971250	-0.968125	-0.967875
-0.959875	-0.966812	-0.967688
-0.959875	-0.966812	-0.967688
-0.959875	-0.966812	-0.967688
-0.951000	-0.963187	-0.965938
-0.951000	-0.963187	-0.965938
-0.951000	-0.963187	-0.965938
-0.973562	-0.964375	-0.966875
-0.973562	-0.964375	-0.966875
-0.973562	-0.964375	-0.966875
-0.970250	-0.965187	-0.966812
-0.970250	-0.965187	-0.966812
-0.970250	-0.965187	-0.966812
-0.970125	-0.964938	-0.966750
-0.970125	-0.964938	-0.966750
-0.970125	-0.964938	-0.966750
-0.964500	-0.965875	-0.966375
-0.964500	-0.965875	-0.966375
-0.964500	-0.965875	-0.966375
-0.948000	-0.965250	-0.964688
-0.948000	-0.965250	-0.964688
-0.948000	-0.965250	-0.964688
-0.973313	-0.965187	-0.965313
-0.973313	-0.965187	-0.965313
-0.973313	-0.965187	-0.965313
-0.967375	-0.964625	-0.965187
-0.967375	-0.964625	-0.965187
-0.967375	-0.964625	-0.965187
-0.973313	-0.965250	-0.965625
-0.973313	-0.965250	-0.965625
-0.973313	-0.965250	-0.965625
-0.970938	-0.966562	-0.966125
-0.970938	-0.966562	-0.966125
-0.970938	-0.966562	-0.966125
-0.948500	-0.966688	-0.964500
-0.948500	-0.966688	-0.964500
-0.948500	-0.966688	-0.964500
-0.975313	-0.967063	-0.965625
-0.975313	-0.967063	-0.965625
-0.975313	-0.967063	-0.965625
-0.967187	-0.967000	-0.966688
-0.967187	-0.967000	-0.966688
-0.967187	-0.967000	-0.966688
-0.975688	-0.967500	-0.966875
-0.975688	-0.967500	-0.966875
-0.975688	-0.967500	-0.966875
-0.967375	-0.966812	-0.966750
-0.967375	-0.966812	-0.966750
-0.967375	-0.966812	-0.966750
-0.950562	-0.967187	-0.965437
-0.950562	-0.967187	-0.965437
-0.950562	-0.967187	-0.965437
-0.966938	-0.965500	-0.965500
-0.966938	-0.965500	-0.965500
-0.966938	-0.965500	-0.965500
-0.970313	-0.966125	-0.967125
-0.970313	-0.966125	-0.967125
-0.970313	-0.966125	-0.967125
-0.968187	-0.964625	-0.966625
-0.968187	-0.964625	-0.966625
-0.968187	-0.964625	-0.966625
-0.970000	-0.965187	-0.966812
-0.970000	-0.965187	-0.966812
-0.970000	-0.965187	-0.966812
-0.954688	-0.966000	-0.965625
-0.954688	-0.966000	-0.965625
-0.954688	-0.966000	-0.965625
-0.969625	-0.966562	-0.965437
-0.969625	-0.966562	-0.965437
-0.969625	-0.966562	-0.965437
-0.962250	-0.964938	-0.966313
-0.962250	-0.964938	-0.966313
-0.962250	-0.964938	-0.966313
-0.969562	-0.965187	-0.965812
-0.969562	-0.965187	-0.965812
-0.969562	-0.965187	-0.965812
-0.964313	-0.964063	-0.965562
-0.964313	-0.964063	-0.965562
-0.964313	-0.964063	-0.965562
