z	zmaf	zfir
-1.087375	-1.019000	-0.786500
-1.087375	-1.019000	-0.786500
-0.747500	-1.024938	-0.795687
-0.747500	-1.024938	-0.795687
-0.747500	-1.024938	-0.795687
-1.156625	-1.014063	-0.847063
-1.156625	-1.014063	-0.847063
-1.156625	-1.014063	-0.847063
-0.850250	-1.017813	-0.884938
-0.850250	-1.017813	-0.884938
-0.850250	-1.017813	-0.884938
-0.935375	-0.955375	-0.918813
-0.935375	-0.955375	-0.918813
-0.935375	-0.955375	-0.918813
-1.117813	-0.961500	-0.968063
-1.117813	-0.961500	-0.968063
-1.117813	-0.961500	-0.968063
-1.040437	-1.020063	-0.993938
-1.040437	-1.020063	-0.993938
-1.040437	-1.020063	-0.993938
-1.211188	-1.031000	-1.014500
-1.211188	-1.031000	-1.014500
-1.211188	-1.031000	-1.014500
-1.270812	-1.115125	-1.060250
-1.270812	-1.115125	-1.060250
-1.270812	-1.115125	-1.060250
-1.210063	-1.170063	-1.059500
-1.210063	-1.170063	-1.059500
-1.210063	-1.170063	-1.059500
-1.277187	-1.201938	-1.093500
-1.277187	-1.201938	-1.093500
-1.277187	-1.201938	-1.093500
-1.171875	-1.228187	-1.095625
-1.171875	-1.228187	-1.095625
-1.171875	-1.228187	-1.095625
-1.191250	-1.224187	-1.103375
-1.191250	-1.224187	-1.103375
-1.191250	-1.224187	-1.103375
-1.138000	-1.197625	-1.135250
-1.138000	-1.197625	-1.135250
-1.138000	-1.197625	-1.135250
-1.019937	-1.159625	-1.127312
-1.019937	-1.159625	-1.127312
-1.019937	-1.159625	-1.127312
-0.928813	-1.089938	-1.129438
-0.928813	-1.089938	-1.129438
-0.928813	-1.089938	-1.129438
-1.013062	-1.058188	-1.134375
-1.013062	-1.058188	-1.134375
-1.013062	-1.058188	-1.134375
-0.844375	-0.988812	-1.109187
-0.844375	-0.988812	-1.109187
-0.844375	-0.988812	-1.109187
-0.866938	-0.934625	-1.090250
-0.866938	-0.934625	-1.090250
-0.866938	-0.934625	-1.090250
-0.812750	-0.893188	-1.055937
-0.812750	-0.893188	-1.055937
-0.812750	-0.893188	-1.055937
-0.658312	-0.839063	-1.003000
-0.658312	-0.839063	-1.003000
-0.658312	-0.839063	-1.003000
-0.694438	-0.775312	-0.959187
-0.694438	-0.775312	-0.959187
-0.694438	-0.775312	-0.959187
-0.637563	-0.734000	-0.905563
-0.637563	-0.734000	-0.905563
-0.637563	-0.734000	-0.905563
-0.614500	-0.683500	-0.858062
-0.614500	-0.683500	-0.858062
-0.614500	-0.683500	-0.858062
-0.652188	-0.651375	-0.814562
-0.652188	-0.651375	-0.814562
-0.652188	-0.651375	-0.814562
-0.608688	-0.641437	-0.772563
-0.608688	-0.641437	-0.772563
-0.608688	-0.641437	-0.772563
-0.787875	-0.660125	-0.752625
-0.787875	-0.660125	-0.752625
-0.787875	-0.660125	-0.752625
-0.909125	-0.714437	-0.752437
-0.909125	-0.714437	-0.752437
-0.909125	-0.714437	-0.752437
-0.599562	-0.711437	-0.719313
-0.599562	-0.711437	-0.719313
-0.599562	-0.711437	-0.719313
-1.131188	-0.807250	-0.744563
-1.131188	-0.807250	-0.744563
-1.131188	-0.807250	-0.744563
-0.898563	-0.865250	-0.750875
-0.898563	-0.865250	-0.750875
-0.898563	-0.865250	-0.750875
-0.985563	-0.904750	-0.767813
-0.985563	-0.904750	-0.767813
-0.985563	-0.904750	-0.767813
-1.232813	-0.969500	-0.817688
-1.232813	-0.969500	-0.817688
-1.232813	-0.969500	-0.817688
-0.879062	-1.025438	-0.835000
-0.879062	-1.025438	-0.835000
-0.879062	-1.025438	-0.835000
-1.040812	-1.007313	-0.869500
-1.040812	-1.007313	-0.869500
-1.040812	-1.007313	-0.869500
-1.045250	-1.036687	-0.906750
-1.045250	-1.036687	-0.906750
-1.045250	-1.036687	-0.906750
-1.021937	-1.043937	-0.936250
-1.021937	-1.043937	-0.936250
-1.021937	-1.043937	-0.936250
-1.038312	-1.005062	-0.968125
-1.038312	-1.005062	-0.968125
-1.038312	-1.005062	-0.968125
-0.996812	-1.028625	-0.989375
-0.996812	-1.028625	-0.989375
-0.996812	-1.028625	-0.989375
-1.099375	-1.040312	-1.001937
-1.099375	-1.040312	-1.001937
-1.099375	-1.040312	-1.001937
-1.033937	-1.038063	-1.034250
-1.033937	-1.038063	-1.034250
-1.033937	-1.038063	-1.034250
-1.109875	-1.055625	-1.034938
-1.109875	-1.055625	-1.034938
-1.109875	-1.055625	-1.034938
-1.120750	-1.072125	-1.048312
-1.120750	-1.072125	-1.048312
-1.120750	-1.072125	-1.048312
-1.155063	-1.103750	-1.064750
-1.155063	-1.103750	-1.064750
-1.155063	-1.103750	-1.064750
-1.214687	-1.126812	-1.066500
-1.214687	-1.126812	-1.066500
-1.214687	-1.126812	-1.066500
-1.139875	-1.148000	-1.086125
-1.139875	-1.148000	-1.086125
-1.139875	-1.148000	-1.086125
-1.120313	-1.150125	-1.093312
-1.120313	-1.150125	-1.093312
-1.120313	-1.150125	-1.093312
-1.099375	-1.145812	-1.098125
-1.099375	-1.145812	-1.098125
-1.099375	-1.145812	-1.098125
-1.099500	-1.134750	-1.105187
-1.099500	-1.134750	-1.105187
-1.099500	-1.134750	-1.105187
-1.005625	-1.092937	-1.101375
